Text,One_Hot_Label,Emotion_Label,Character_Count,Word_Count
when i feel lonely perhaps because i have to study a lot and i am shut up in my appartment nothing happens in particular because there is no time for anything else,"[0, 0, 0, 1, 0, 0, 0]",sadness,167,32
when one learns through the mass media all the wars and killing going on in the world,"[0, 0, 0, 0, 1, 0, 0]",disgust,86,17
i lied to be precise i cancelled a meeting with a good friend,"[0, 0, 0, 0, 0, 1, 0]",shame,63,13
when one let us friends down,"[0, 0, 0, 0, 0, 0, 1]",guilt,26,5
when i was accepted for a course on finance and accounting,"[1, 0, 0, 0, 0, 0, 0]",joy,59,11
a bus drove over my right leg the event itself was not very frightening but when i had to wait in the emergency ward for three hours and then my leg began to swell i was frightened,"[0, 1, 0, 0, 0, 0, 0]",fear,184,37
at my summer job nobody looked after me in particular and i had to learn all on my own,"[0, 0, 1, 0, 0, 0, 0]",anger,88,19
when i was not accepted as a student in finance and accounting,"[0, 0, 0, 1, 0, 0, 0]",sadness,63,12
when i had just moved into my new appartment i found a ventilator in the kitchen i was going to clean it when i found that the drum was full of mud and slime i felt disgusted,"[0, 0, 0, 0, 1, 0, 0]",disgust,179,37
my elder brother and i have not always had a good relationship and i feel ashamed of myself as i do not call him to talk to him nowadays,"[0, 0, 0, 0, 0, 1, 0]",shame,137,29
at my summer job a new caretaker had been employed who was my age but i preferred going out for lunch with the accounts personnel rather than with him,"[0, 0, 0, 0, 0, 0, 1]",guilt,152,29
passed an exam by NUM points,"[1, 0, 0, 0, 0, 0, 0]",joy,27,6
in a cottage in a large forest i was alone for a while in the dark,"[0, 1, 0, 0, 0, 0, 0]",fear,68,16
when i spoke to jan erik wikstr m on the telephone,"[0, 0, 1, 0, 0, 0, 0]",anger,51,9
railway station good bye,"[0, 0, 0, 1, 0, 0, 0]",sadness,25,3
i saw a cripple in rags with small children in italy he was probably an imposter,"[0, 0, 0, 0, 1, 0, 0]",disgust,83,16
i told a friend that i was going to a party and he would not enjoy himself if he came along he understood that he would not have fitted in and there was something in that,"[0, 0, 0, 0, 0, 1, 0]",shame,174,36
i was the reason behind the break up of my friend relationship with his girlfriend she finished with him,"[0, 0, 0, 0, 0, 0, 1]",guilt,109,18
i passed an exam that i was absolutely certain that i had failed,"[1, 0, 0, 0, 0, 0, 0]",joy,65,13
on the way back from denmark with a friend on a small yatch there was a storm and my friend was blown overboard i was very scared till i managed to get him back onboard,"[0, 1, 0, 0, 0, 0, 0]",fear,172,35
i locked myself out,"[0, 0, 1, 0, 0, 0, 0]",anger,20,4
i missed the last tram home and had to walk in the pouring rain,"[0, 0, 0, 1, 0, 0, 0]",sadness,64,14
i found some worms in the food and i had obviously eaten some,"[0, 0, 0, 0, 1, 0, 0]",disgust,62,13
my friend was so intoxicated that the police came and took him away and they later contacted his parents,"[0, 0, 0, 0, 0, 1, 0]",shame,106,19
i hapened to overhear something which i was not meant to hear,"[0, 0, 0, 0, 0, 0, 1]",guilt,62,12
when i won a trip to greece in a competition,"[1, 0, 0, 0, 0, 0, 0]",joy,45,10
when i am out in the dark and a suspicious looking character comes towards me,"[0, 1, 0, 0, 0, 0, 0]",fear,78,15
at work when an elderly man complained unjustifiably about me and distrusted me,"[0, 0, 1, 0, 0, 0, 0]",anger,81,13
when i had not understood anything after a lecture,"[0, 0, 0, 1, 0, 0, 0]",sadness,51,9
when an alcoholic stood dribbling over a food counter,"[0, 0, 0, 0, 1, 0, 0]",disgust,54,9
when my friend and i were discussing the good looks of a guy we realized that he had been listening,"[0, 0, 0, 0, 0, 1, 0]",shame,100,20
when i complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that i liked her,"[0, 0, 0, 0, 0, 0, 1]",guilt,149,27
at a friend birthday party with some of my closest friends it was all very pleasant and one could say that i was happy to have such good friends,"[1, 0, 0, 0, 0, 0, 0]",joy,149,29
on the way home one friday night in the heavy rain the car acquaplanned i lost contact with the road surface for a few seconds,"[0, 1, 0, 0, 0, 0, 0]",fear,129,25
mad at my dad,"[0, 0, 1, 0, 0, 0, 0]",anger,14,4
a case of unrequited love,"[0, 0, 0, 1, 0, 0, 0]",sadness,26,5
a bad smelling cucumber,"[0, 0, 0, 0, 1, 0, 0]",disgust,24,4
nearly caught masturbating,"[0, 0, 0, 0, 0, 1, 0]",shame,27,3
i do not help out enough at home,"[0, 0, 0, 0, 0, 0, 1]",guilt,33,8
i felt very happy when i won the football pools,"[1, 0, 0, 0, 0, 0, 0]",joy,48,10
when i flew from athens to copenhagen after a holiday the plane was caught in a storm and it began to shake and i thouhght that we were going to crash,"[0, 1, 0, 0, 0, 0, 0]",fear,153,31
when someone stole my bike,"[0, 0, 1, 0, 0, 0, 0]",anger,27,5
when i saw the list of books to read for an acccouting course i thought oh god how will i ever manaage it,"[0, 0, 0, 1, 0, 0, 0]",sadness,110,24
it was when i read a newspaper article on the future and they foresaw that we would be eating frog burgers by the year NUM an illustration showed a frog between two pieces of bread,"[0, 0, 0, 0, 1, 0, 0]",disgust,184,34
when i dropped a bottle in the state liquor store and everyboby started laughing,"[0, 0, 0, 0, 0, 1, 0]",shame,81,14
when i was young NUM i pinched from a store and was caught the store then contacted my parents,"[0, 0, 0, 0, 0, 0, 1]",guilt,99,20
when the whole family gets together for a one week holiday everybody feels free and the trip is well planned it works out well and we enjoy ourselves,"[1, 0, 0, 0, 0, 0, 0]",joy,154,28
when i could not find my NUM year old daughter i ran and looked for her everywhere and could not find her i finally found her she had gone to bed to sleep,"[0, 1, 0, 0, 0, 0, 0]",fear,159,33
when friends try to put me down or hurt me,"[0, 0, 1, 0, 0, 0, 0]",anger,43,10
marriage crises boredom,"[0, 0, 0, 1, 0, 0, 0]",sadness,26,3
when someone makes advances that one does not want,"[0, 0, 0, 0, 1, 0, 0]",disgust,51,9
the discovery that one has only thought of oneself,"[0, 0, 0, 0, 0, 1, 0]",shame,51,9
when i spanked a child in anger and later regretted it terribly,"[0, 0, 0, 0, 0, 0, 1]",guilt,64,12
when i passed the first examination that i had to repeat,"[1, 0, 0, 0, 0, 0, 0]",joy,57,11
when i drove to stockholm for the first time and drove off the stora hissingen road at the wrong exit,"[0, 1, 0, 0, 0, 0, 0]",fear,102,20
when my boyfriend went away for a month long holiday without me,"[0, 0, 1, 0, 0, 0, 0]",anger,64,12
last year when i worked during the summer holidays and studied at the same time for an examination i had to repeat my boyfriend went to greece for a holiday for a month,"[0, 0, 0, 1, 0, 0, 0]",sadness,170,33
when a dog is left whining outside a shop,"[0, 0, 0, 0, 1, 0, 0]",disgust,42,9
when i promised to help a friend over a weekend and did not keep the promise,"[0, 0, 0, 0, 0, 1, 0]",shame,77,16
when i realized that i had three more examinations to take,"[0, 0, 0, 0, 0, 0, 1]",guilt,59,11
the day i was told that i had been accepted as a student of economics,"[1, 0, 0, 0, 0, 0, 0]",joy,70,15
while taking a short cut through the vasa park i was surrounded by three people who tried to steal my money i was scared and was saved only by the appearance of other people,"[0, 1, 0, 0, 0, 0, 0]",fear,177,34
at a restaurant i observed how the gypsies tried to get money by cheating the foreigners i e non swedish speaking my anger had nothing to do with hatred against foreigners but it was an expression of the anger i feel when i see people being used,"[0, 0, 1, 0, 0, 0, 0]",anger,250,47
at the begining of a new course one is afraid of encountering problems one can not manage thoughts revolve around failing the subject and the consequences it would have for the future,"[0, 0, 0, 1, 0, 0, 0]",sadness,186,32
while walking in town i noticed how the police harrassed a man who was under the influence of alcohol they terrified him with the thought of arrest by driving close behind him on a pedestrian street my disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves,"[0, 0, 0, 0, 1, 0, 0]",disgust,326,56
when my boyfriend revealed that he knew that i had discovered things of an important nature about him i felt ashamed as i had not mentioned it earlier,"[0, 0, 0, 0, 0, 1, 0]",shame,152,28
when i am dishonest to a friend to whom i am very close i feel guilty because i know that he gives a different version of the truth and i have not corrected these mistakes and he is aware that i know that they are wrong,"[0, 0, 0, 0, 0, 0, 1]",guilt,223,46
when i found out that i had passed the last two exams by a margin of three marks,"[1, 0, 0, 0, 0, 0, 0]",joy,81,18
when my father was ill and was waiting for the results of his tests,"[0, 1, 0, 0, 0, 0, 0]",fear,68,14
when i got caught in the pouring rain last thursday and did not have a raincoat on me,"[0, 0, 1, 0, 0, 0, 0]",anger,86,18
when i failed an exam,"[0, 0, 0, 1, 0, 0, 0]",sadness,22,5
at a sm rgasbord table a man mixed differnet kinds of picked herrings with fruit salad,"[0, 0, 0, 0, 1, 0, 0]",disgust,88,15
when i had not prepared my contribution to the group as thoroughly as the other members with the result that the overall result was poor,"[0, 0, 0, 0, 0, 1, 0]",shame,138,25
when my father and i worked on the house just after he had recovered from illness i was rather lazy this meant that he had to work hard and was not very well later,"[0, 0, 0, 0, 0, 0, 1]",guilt,167,34
when i gave birth to my son and saw that he was alive and that i had managed it well he was born a month too early with a malfunctioning lung this happened a year ago,"[1, 0, 0, 0, 0, 0, 0]",joy,171,36
when i found out that my father had lung cancer and they did not know how long he would live,"[0, 1, 0, 0, 0, 0, 0]",fear,93,20
when a colleague asked me for help at work despite the fact that he had more time to do it than i had,"[0, 0, 1, 0, 0, 0, 0]",anger,103,23
when i did not get the salary increase that i had been expecting and understood how little one work was appreciated,"[0, 0, 0, 1, 0, 0, 0]",sadness,118,21
when i was weeding the garden i found a lizard in my hand,"[0, 0, 0, 0, 1, 0, 0]",disgust,58,13
when i met a friend whom i had not seen for a long time and heard all about her troubles i thought that i should have got in touch with her earlier,"[0, 0, 0, 0, 0, 1, 0]",shame,149,32
i got angry at my mother for something trivial we were in a bad mood because my father was very ill and i knew that my mother really needed support i had reacted wrongly,"[0, 0, 0, 0, 0, 0, 1]",guilt,174,34
new year eve NUM NUM i met my girlfriend we stood on the steps outside her parents home and i kissed her for the first time,"[1, 0, 0, 0, 0, 0, 0]",joy,131,25
when i was stopped by plain clothes policemen because the car i was driving had overturned on the avenue i had been driving too fast and i was afraid when i was stopped questionned and then toild to go the situation ended happily since there were no consequences,"[0, 1, 0, 0, 0, 0, 0]",fear,269,48
the editor changed the heading of an article that i had written he considered the heading to be derogatory towards the person i had written about,"[0, 0, 1, 0, 0, 0, 0]",anger,148,26
a close acquaintance of the family died of lung cancer although it was expected i still felt depressed,"[0, 0, 0, 1, 0, 0, 0]",sadness,106,18
when i saw a picture in the gothenburg post of a totally demolished car with two fatally injured passengers the car was so badly damaged that they could not get the bodies out at the scene of the accident,"[0, 0, 0, 0, 1, 0, 0]",disgust,208,38
one night i had a sexual intercourse with another man my sexual desire and my curiosity had made me jump into bed with him i am ashamed of myself now,"[0, 0, 0, 0, 0, 1, 0]",shame,154,30
due to laziness i failed the term studies completely at university i also wanted to some extent to protest against my parents' expectations,"[0, 0, 0, 0, 0, 0, 1]",guilt,145,23
when i got the loan for my studies,"[1, 0, 0, 0, 0, 0, 0]",joy,35,8
i met intoxicated people with dubious intentions in a back alley one wednesday night,"[0, 1, 0, 0, 0, 0, 0]",fear,85,14
on the t v i saw a news feature on south africa a policeman attacked a group of black people with a whip,"[0, 0, 1, 0, 0, 0, 0]",anger,112,22
the thought of having to read a boring book of NUM pages in english,"[0, 0, 0, 1, 0, 0, 0]",sadness,68,14
grovelling people,"[0, 0, 0, 0, 1, 0, 0]",disgust,18,2
my inability to assert myself positively in a group,"[0, 0, 0, 0, 0, 1, 0]",shame,52,9
i experience feelings of guilt because i do not study enough,"[0, 0, 0, 0, 0, 0, 1]",guilt,61,11
observing someone in the cafeteria noisily gulping in his food having extremely bad manners,"[0, 0, 0, 0, 1, 0, 0]",disgust,93,14
i guess i have often been ashamed after having talked badly of other people,"[0, 0, 0, 0, 0, 1, 0]",shame,76,14
having been angry and unpleasant towards my parents,"[0, 0, 0, 0, 0, 0, 1]",guilt,52,8
when my sister after a history of one abortion and one stillbirth gave birth to a perfectly healty boy,"[1, 0, 0, 0, 0, 0, 0]",joy,107,21
when my sister had the still born child she was emotionally very deep down and it took her a long time to recover,"[0, 1, 0, 0, 0, 0, 0]",fear,116,23
we were starting a student project and the teacher we talked to was very negative and not very helpful,"[0, 0, 1, 0, 0, 0, 0]",anger,104,19
when my boyfriend openly let me down preferring another girl,"[0, 0, 0, 1, 0, 0, 0]",sadness,62,10
i felt some disgust for my boyfriend for a time after he had left me,"[0, 0, 0, 0, 1, 0, 0]",disgust,70,15
before an accident my aunt offered me the front seat of the car next to the driver i declined she took that seat and was killed there when the car crashed,"[0, 0, 0, 0, 0, 0, 1]",guilt,159,31
unexpected visit by a close friend whom i had not seen for half a year,"[1, 0, 0, 0, 0, 0, 0]",joy,71,14
i wandered by mistake into the safety zone of a shooting range and was shot at,"[0, 1, 0, 0, 0, 0, 0]",fear,80,16
being treated unfairly,"[0, 0, 1, 0, 0, 0, 0]",anger,23,3
breaking up with a girl,"[0, 0, 0, 1, 0, 0, 0]",sadness,24,5
little contact with my father before he died,"[0, 0, 0, 0, 0, 0, 1]",guilt,45,8
when i was accepted as a student at the college not having thought it possible,"[1, 0, 0, 0, 0, 0, 0]",joy,80,15
when i was the first to arrive at the scene after an accident and found that a close school friend had been killed,"[0, 1, 0, 0, 0, 0, 0]",fear,116,23
i was accused of having done something which i had not and got very angry,"[0, 0, 1, 0, 0, 0, 0]",anger,74,14
when my grandmother died,"[0, 0, 0, 1, 0, 0, 0]",sadness,25,4
a couple of years ago during the summer holiday i was fishing at a lake with my husband suddenly it started raining while the sun was still shining i experienced a feeling of joy happiness and fulfillment the whole nature was full of music,"[1, 0, 0, 0, 0, 0, 0]",joy,247,44
i was alone at home in bed reading a womens' magazine in which there were storiees of paranormal experiences my leg was itching and i stretched my hand to scratch and i felt another strange hand later i realized that it was the corner of the blanket,"[0, 1, 0, 0, 0, 0, 0]",fear,255,47
i went to a lecture and once again it had been cancelled this was the second time one had a negative attitude towards the lecturer,"[0, 0, 1, 0, 0, 0, 0]",anger,134,25
i heard that a former superior of mine had died i was later at home home reading about it in the newspaper and i thought of our interaction and how it was no longer possible the limited scope of human life is sad,"[0, 0, 0, 1, 0, 0, 0]",sadness,216,43
in the tram there was a fat sickly looking woman in front of me who was asking for directions in a thick voice when she got up to go a disgusting smell of urine came from her i felt that i would choke,"[0, 0, 0, 0, 1, 0, 0]",disgust,206,43
when we were at home my husband and i he made a remark about something i had done in a perfectly friendly manner my deed had been unjust and i knew that my husband was right therefore my sense of shame,"[0, 0, 0, 0, 0, 1, 0]",shame,208,41
i made a remark to my sister concerning her attitude to men the way she talked and i compared her to an acquaintance of mine later the same evening my sister looked sad i felt guilty about her sadness,"[0, 0, 0, 0, 0, 0, 1]",guilt,208,39
i had a summer job in sweden and my boyfriend came to meet me on my birthday,"[1, 0, 0, 0, 0, 0, 0]",joy,78,17
i went to practice in sweden during summer and i was afraid that i would not do well,"[0, 1, 0, 0, 0, 0, 0]",fear,86,18
in the holiday cottage of our association two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room it was the morning service at its loudest,"[0, 0, 1, 0, 0, 0, 0]",anger,201,40
my grandmother died suddenly last summer,"[0, 0, 0, 1, 0, 0, 0]",sadness,41,6
my superior at the summer job swindled customers as much as he could and once put me in a difficult situation after which i could not but detest him,"[0, 0, 0, 0, 1, 0, 0]",disgust,150,29
once i arrived two hours late to my work place a bank and i was still feeling feeble and tired,"[0, 0, 0, 0, 0, 1, 0]",shame,97,20
our association had polish visitors and when they were going back by boat i did not go to see them off i am the chairman of the association,"[0, 0, 0, 0, 0, 0, 1]",guilt,142,28
i was told quite unexpectedly that one wanted me to become the vice chairman of our student organisation i was really surprised and joy was the first emotion i felt though behind it there was worry how shall i succeed,"[1, 0, 0, 0, 0, 0, 0]",joy,224,41
our tutorial group was soon to be divided and we got a list of names of freshmen out of which five were to be in my group we read the names and then each group went its own way to a seminar room i wondered how i would cope with the new situation and if i would succeed as a group leader,"[0, 1, 0, 0, 0, 0, 0]",fear,293,62
we were in a disco and the evening was not at all pleasant despite my not knowing why i was angry with my companion i let him feel my bad humour as i cannot hide my feelings,"[0, 0, 1, 0, 0, 0, 0]",anger,179,37
my grandmother died and my mother called me one sunday morning in the autumn the way my mother told me about it i hated her at that moment she sounded as if she had been waiting for the death of my grandmother i had lost a person close to me i felt guilty too as i had been bad to my grandmother of late i had not remained calm when she no longer understood everything so well,"[0, 0, 0, 1, 0, 0, 0]",sadness,389,77
at the underground station a drunkard came to speak to me he tried to ask me something but i did not answer so he began to speak about me with his companion i detested this dirty growling man,"[0, 0, 0, 0, 1, 0, 0]",disgust,197,38
i was worried by a task related to my studies which had to be done in groups of two i was talking about it to my friends when i said something negative in too abrupt a manner concerning my work partner i did not quite mean what i said and i felt ashamed at having been mean enough to criticize him as he is also a friend of mine,"[0, 0, 0, 0, 0, 1, 0]",shame,335,69
i had told my boyfriend that i did not want to go on with our relationship i knew that i was important to him but i wanted to be free i saw that this was difficult for him but i remained firm and did not change my mind,"[0, 0, 0, 0, 0, 0, 1]",guilt,223,48
last night i had a chat with a fellow student i had known her for about half a year and for the first time we were speaking the same language meaning an inspiring discussion and encounter,"[1, 0, 0, 0, 0, 0, 0]",joy,196,36
i sometimes quarrel with my mother because she blames me though i have not in any way been connected to some events,"[0, 0, 1, 0, 0, 0, 0]",anger,117,22
after hearing about the death of my grandfather first i could not believe it but later i wept and felt the situation was hopeless i felt lonely and wanted to be consolated,"[0, 0, 0, 1, 0, 0, 0]",sadness,177,32
in the evening while i was watching tv my little brother came in and started eating food he had brought from the kitchen while i was trying to concentrate on the program,"[0, 0, 0, 0, 1, 0, 0]",disgust,172,32
my little brother was arrested by the police at the railway station after he had drunk some beer,"[0, 0, 0, 0, 0, 1, 0]",shame,97,18
at my temporary job i have to restrict others' actions and make them obey me and this very often gives me a feeling of guilt i wish there could be some other way of acting,"[0, 0, 0, 0, 0, 0, 1]",guilt,178,35
i met a dear friend of mine after a long time i expressed my feelings in our own usual way by mutual scolding and abusing with complete understanding and by touching patting and taking the hand of the other person etc,"[1, 0, 0, 0, 0, 0, 0]",joy,227,41
i felt fear of the purest kind after a car accident the incident and images of horror kept coming back to my mind i wondered what could have happened to my sister my friend and me though nothing very serious actually happened,"[0, 1, 0, 0, 0, 0, 0]",fear,232,42
two boys whom i know were telling me in an indecent manner how they had teased a young and shy girl i know they had despised her conviction scorned and touched her i got very angry and did not try to conceal it and gave it back to them,"[0, 0, 1, 0, 0, 0, 0]",anger,243,49
my sweetheart left me or rather we decided to break it off by mutual consent the consequences were unrestrained weeping feelings of loneliness hopelessness and disconsolation i felt that i should find a friend to talk to joyfully and to forget,"[0, 0, 0, 1, 0, 0, 0]",sadness,254,42
out of sheer curiosity i went to see a pornographic movie in copenhagen the room was full of men who panted and masturbated very disgusting,"[0, 0, 0, 0, 1, 0, 0]",disgust,146,25
after having quarelled unnecessarily and without any reason and having been stupidly cross in every way,"[0, 0, 0, 0, 0, 1, 0]",shame,105,16
forced to fill in a questionnaire,"[0, 0, 0, 0, 0, 0, 1]",guilt,34,6
when i won a tennis match,"[1, 0, 0, 0, 0, 0, 0]",joy,26,6
when my dog ran out on thin ice last spring,"[0, 1, 0, 0, 0, 0, 0]",fear,44,10
when my tennis match was interrupted because a kid cycled right into the court,"[0, 0, 1, 0, 0, 0, 0]",anger,79,14
celebrations on the graduation day with the orchestra playing in the garden i am a part of this orchestra,"[1, 0, 0, 0, 0, 0, 0]",joy,109,20
risk of being involved in a fight after a party,"[0, 1, 0, 0, 0, 0, 0]",fear,48,10
i had a very heavy work load and two colleagues whom i have nothing against disturbed me by terror ringing i e continously interrupting me by telephoning,"[0, 0, 1, 0, 0, 0, 0]",anger,161,26
after an exam which i failed,"[0, 0, 0, 1, 0, 0, 0]",sadness,29,6
when i overtook a car on the mainroad misjudging the distance of an oncoming car and this resulted in tooting and flashing from the other driver we could have collided and i had an acquaintance in the car with me,"[0, 0, 0, 0, 0, 1, 0]",shame,217,40
i saw a neighbour from the same appartment block as me lying on the road he could have been injured or ill i kept NUM metres away and did not go to help him,"[0, 0, 0, 0, 0, 0, 1]",guilt,165,34
when i met an old schhol friend school love who works in sk vde,"[1, 0, 0, 0, 0, 0, 0]",joy,66,13
when i was cycling to school i nearly got knocked down by a car which overtook me too closely did not give me any swerving space,"[0, 1, 0, 0, 0, 0, 0]",fear,132,26
when i was deputy manager during the summer certain deputies took liberties more than what was normal,"[0, 0, 1, 0, 0, 0, 0]",anger,104,17
when i realized that my girlfriend whom i like and i were going to separate,"[0, 0, 0, 1, 0, 0, 0]",sadness,78,15
dog dirt which thaws in the spring,"[0, 0, 0, 0, 1, 0, 0]",disgust,35,7
when i forgot my mother birthday,"[0, 0, 0, 0, 0, 1, 0]",shame,35,6
passed the last exam,"[1, 0, 0, 0, 0, 0, 0]",joy,21,4
was nearly knocked down by a car,"[0, 1, 0, 0, 0, 0, 0]",fear,33,7
i reached the bus stop and realized that i had forgotten my bus pass,"[0, 0, 1, 0, 0, 0, 0]",anger,69,14
my current work load is too much the feeling comes back from time to time,"[0, 0, 0, 1, 0, 0, 0]",sadness,76,15
